,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4389,2969803,King Bed or Two Singles - You're choice!,7691518,Brent,Manhattan,Hell's Kitchen,40.76794,-73.98781,Private room,68,1,152,2019-05-23,2.42,2,237
4397,2977232,"Priv Room in Artists UES Apt, Central Park & Train",15185319,Alesandra,Manhattan,East Harlem,40.79285,-73.94481999999999,Private room,95,1,270,2019-06-17,4.5,1,288
4407,2994659,Private cozy room,15266695,Sergey & Kate,Brooklyn,Bensonhurst,40.62019,-73.99624,Private room,43,1,127,2019-06-27,2.77,2,220
4448,3041785,Luxury Space  East Village 3 Bedrm sleeps 7,15430260,Michelle,Manhattan,East Village,40.72889,-73.98853000000001,Entire home/apt,249,1,150,2019-06-24,2.52,1,278
4584,3206224,Improved Response Rate@ The Valley,16245414,Shae,Brooklyn,Bushwick,40.69368,-73.92295,Entire home/apt,110,1,189,2019-06-15,3.06,4,179
4633,3247291,Comfort and Charm in Harlem Brownstone near Subway,16425715,Soon,Manhattan,Harlem,40.81198,-73.9437,Private room,80,1,134,2019-07-03,4.36,1,227
4707,3311830,Beautiful Clean & Quiet Room! Rm#1,11674837,Christopher,Queens,Ridgewood,40.70476,-73.90874000000001,Private room,59,1,142,2019-06-16,2.34,3,359
4856,3463385,Gorgeous room in Manhattan,10698270,Evgenia,Manhattan,Upper East Side,40.76717,-73.95532,Private room,95,1,202,2019-05-27,3.31,2,263
4861,3465651,"“No Place Like Home”
1st Floor Suburban Apt.",4060346,"Lisa, Nancy & John",Staten Island,Eltingville,40.54268,-74.16254,Private room,56,1,145,2019-07-05,2.38,1,258
4867,3469171,Red Hook Prime 1 BR Priv. Garden 3 blks NYC Ferry,1499484,Tom,Brooklyn,Red Hook,40.678509999999996,-74.01590999999999,Entire home/apt,142,1,169,2019-06-24,2.8,2,306
4870,3474320,Private brownstone studio Brooklyn,12949460,Asa,Brooklyn,Park Slope,40.67926,-73.97711,Entire home/apt,160,1,488,2019-07-01,8.14,1,269
4890,3496384,Interfaith Retreat Guest Rooms (Om),16677326,Alex And Zeena,Manhattan,Chelsea,40.74977,-73.99647,Private room,85,1,145,2019-06-24,3.48,12,342
4926,3531018,It's The Brooklyn Way !!!,12291588,Maximus,Brooklyn,Bedford-Stuyvesant,40.68476,-73.92975,Entire home/apt,59,1,142,2019-07-01,2.63,1,318
4931,3533604,Private Room in a two bedroom apt.,9510645,Rylan,Brooklyn,Bushwick,40.703990000000005,-73.92813000000001,Private room,96,1,332,2019-07-06,5.57,2,355
4941,3542523,HEART of Williamsburg  w/ Rooftop!,747031,Jack,Brooklyn,Williamsburg,40.714659999999995,-73.96429,Entire home/apt,500,1,138,2017-12-20,2.34,1,282
4988,3583702,Brooklyn's Finest,18018059,Erin,Brooklyn,Bushwick,40.68258,-73.90472,Entire home/apt,122,1,157,2019-07-01,2.64,1,235
5046,3626302,Beautiful Clean & Quiet Room! Rm#2,11674837,Christopher,Queens,Ridgewood,40.70554,-73.90729,Private room,59,1,173,2019-06-19,2.87,3,352
5098,3663178,"Landmark Cottage, Brownstone block",710916,Adam,Brooklyn,Crown Heights,40.67541,-73.94408,Entire home/apt,216,1,233,2019-07-02,3.89,1,295
5135,3696043,Weeklong Discounted Bklyn Apt by Train & Near Dwtn,807340,Kevin,Brooklyn,Brownsville,40.66827,-73.92509,Entire home/apt,75,1,135,2019-07-01,2.27,1,174
5148,3704067,Garden Apartment with private patio in Townhouse,188896,Ellen,Brooklyn,Clinton Hill,40.69034,-73.96675,Entire home/apt,175,1,121,2019-01-21,2.03,2,171
5156,3715638,Sunny Private Room at Central Park!,9784206,Saint,Manhattan,East Harlem,40.79508,-73.94895,Private room,72,1,204,2019-07-05,3.41,1,219
5219,3771656,Amazing Upper East Side Location,19331457,Yevgeny,Manhattan,Upper East Side,40.77632,-73.95458,Private room,95,1,389,2019-07-01,6.51,2,254
5254,3799598,★Unique two bedroom on 2nd Avenue★,7558452,Zev,Manhattan,East Village,40.723279999999995,-73.98926,Entire home/apt,260,1,299,2019-06-23,5.04,2,232
5308,3835681,"Great location, new lower rates!!!",3339701,Angelo,Queens,Ditmars Steinway,40.77478,-73.91913000000001,Private room,50,1,164,2019-06-20,2.78,4,308
5310,3835757,...New lower rates for low season!!,3339701,Angelo,Queens,Ditmars Steinway,40.773759999999996,-73.91855,Private room,50,1,207,2019-06-21,3.48,4,311
5341,3852261,SUNNY ROOM FOR TWO @ ELEGANT HOME NEAR JFK,19866189,Natasha,Queens,Arverne,40.58835,-73.79565,Private room,149,1,91,2019-07-01,1.53,5,358
5382,3888752,"Bright, quiet, cozy 1BR by C Park!",20116872,Michael,Manhattan,Upper West Side,40.77571,-73.97757,Entire home/apt,195,1,401,2019-06-30,6.76,1,178
5528,4016069,1C.  Private  Rm in Guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,40.807320000000004,-73.93775,Private room,55,1,163,2019-05-14,2.76,10,359
5541,4031463,Comfortable Private space with a terrace,20900568,Mike,Bronx,Norwood,40.87786,-73.87640999999999,Private room,50,1,108,2019-06-28,1.84,1,261
5586,4058949,3C. Private Rm in Guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,40.80617,-73.93868,Private room,45,1,151,2019-05-09,2.59,10,357
5593,4066224,Williamsburg Gem With Private Patio!,4050500,Kelly,Brooklyn,Williamsburg,40.71236,-73.9379,Entire home/apt,200,1,170,2019-06-30,2.96,1,303
5595,4068216,Unbelievable Upper East Side Loc.,19331457,Yevgeny,Manhattan,Upper East Side,40.77462,-73.95461,Private room,105,1,239,2019-06-29,4.13,2,287
5608,4077460,Brooklyn modern 2 BR Garden Floor,21149129,Jenny,Brooklyn,Bedford-Stuyvesant,40.690129999999996,-73.92805,Entire home/apt,215,1,167,2019-06-20,2.86,1,250
5611,4081926,1 BDR APARTMENT  7 MINS FROM JFK 5 STAR RATED,21171867,Jennifer And Basil,Queens,Springfield Gardens,40.67425,-73.75796,Entire home/apt,110,1,279,2019-06-16,5.02,1,355
5651,4120122,Cosy room in Williamsburg,21373495,Lara,Brooklyn,Williamsburg,40.7105,-73.9438,Private room,65,1,113,2019-06-21,3.99,1,308
5702,4152752,Location is Everything. And Quiet Too!,21546973,Niko,Manhattan,Hell's Kitchen,40.76444,-73.98965,Private room,103,1,394,2019-06-30,6.79,1,237
5724,4170460,#1 Superhost Special Offer in NYC!,21641206,Veronica,Brooklyn,Bedford-Stuyvesant,40.6956,-73.94827,Private room,65,1,357,2019-06-22,6.19,4,321
5766,4204083,The White House,21811394,Hazel,Brooklyn,Bedford-Stuyvesant,40.6789,-73.94001,Entire home/apt,129,1,223,2019-06-20,3.91,1,230
5778,4215595,LowerEastSide apt share shortterm 3,7549,Ben,Manhattan,Lower East Side,40.71329,-73.99047,Shared room,40,1,88,2019-05-19,1.53,4,197
5789,4218129,Special OFFER on Airbnb NYC Room!,21641206,Veronica,Brooklyn,Bedford-Stuyvesant,40.69527,-73.94785999999999,Private room,59,1,350,2019-06-24,6.05,4,328
5791,4220151,"Clean/Quiet Apt, Great Location, with washer/dryer",21903562,David,Manhattan,Chelsea,40.74588,-74.00055,Entire home/apt,159,1,202,2019-06-19,3.53,1,234
5794,4225569,Lovely Astoria Studio-close to NYC!,21929547,Orinda,Queens,Astoria,40.76273,-73.90579,Entire home/apt,96,1,196,2019-07-07,3.44,1,316
5796,4226098,W. 80's Central Park 3 Blocks Walk,21930989,Mark,Manhattan,Upper West Side,40.78883,-73.97616,Private room,88,1,319,2019-06-25,5.6,2,251
5816,4241028,Private Studio Apartment ,22006854,Kishorie,Queens,Jamaica,40.6852,-73.7962,Entire home/apt,89,1,352,2019-06-16,6.1,1,359
5820,4244242,Best Bedroom in Bedstuy/Bushwick. Ensuite bathroom,22023014,BrooklynSleeps,Brooklyn,Bedford-Stuyvesant,40.694959999999995,-73.93949,Private room,70,1,110,2019-06-23,1.96,1,323
5854,4271877,New Private Bathroom Master Bedroom,21091779,Caroline,Brooklyn,Bedford-Stuyvesant,40.6869,-73.92254,Private room,69,1,121,2019-06-22,2.68,3,286
5906,4308612,Holiday special! Best location!,16798055,Ehud,Manhattan,Hell's Kitchen,40.76502,-73.98931999999999,Entire home/apt,125,1,186,2019-06-30,3.28,1,193
5940,4343401,Room #1 Private Room,22384027,Shahana,Brooklyn,Crown Heights,40.67122,-73.91813,Private room,39,1,153,2019-06-14,2.66,10,178
6024,4408381,Apartment Crown Heights Brooklyn NY,263500,Claire,Brooklyn,East Flatbush,40.66428,-73.92911,Entire home/apt,100,1,102,2019-06-16,1.85,2,243
6042,4424511,"Great location, cozy, near F, G, R!",3641595,Deirdre,Brooklyn,Park Slope,40.67099,-73.98791,Entire home/apt,160,1,323,2019-06-22,5.81,1,211
6060,4437053,Sunlit 1 bedroom in NoLita,23030943,Kristin,Manhattan,Nolita,40.72144,-73.99435,Private room,105,1,102,2019-06-16,1.79,1,362
6109,4472978,Charming Studio in a Great location,5800619,Catia,Manhattan,Hell's Kitchen,40.755309999999994,-73.99945,Entire home/apt,195,1,136,2019-07-05,2.94,1,203
6194,4532913,Williamsburg private clean cozy RM,20164579,Oliver,Brooklyn,Williamsburg,40.71909,-73.95998,Private room,45,1,170,2019-06-20,5.9,1,245
6226,4550041,Bright! LARGE 2 BEDS near Manhattan,23591164,Angela,Queens,East Elmhurst,40.765390000000004,-73.87635999999999,Private room,65,1,356,2019-06-23,6.31,4,341
6228,4550557,Bright LARGE 2 BEDS! near Manhattan,23591164,Angela,Queens,East Elmhurst,40.7668,-73.87759,Private room,65,1,426,2019-06-17,7.53,4,312
6231,4553528,Brownstone Williamsburg room with skylight Create,2480939,Charles,Brooklyn,Williamsburg,40.71839,-73.95996,Private room,58,1,210,2019-07-02,3.8,3,217
6232,4553721,Art Large bedroom  Brownstone for 1 or 2 persons,2480939,Charles,Brooklyn,Williamsburg,40.71994,-73.9599,Private room,90,1,194,2019-07-05,3.81,3,229
6242,4559096,$99 Manhattan/Time Sq.,23635670,Johnny,Manhattan,Hell's Kitchen,40.758559999999996,-73.99569,Private room,125,1,186,2019-07-07,3.33,1,271
6292,4598265,"Hamilton Hts Beauty, Manhattan 1 BR",23834677,Kumar,Manhattan,Harlem,40.82863,-73.94358000000001,Entire home/apt,155,1,242,2019-06-30,4.4,2,238
6425,4678568,Spacious private BR 2 Queen beds & 3 mins to train,24195428,Maireni,Brooklyn,Crown Heights,40.66811,-73.93393,Private room,65,1,222,2019-06-17,3.99,1,292
6444,4694480,1000 SQ FT Cobble Hill Übercharmer,24268565,Daniel,Brooklyn,Cobble Hill,40.689820000000005,-73.99675,Entire home/apt,250,1,185,2019-07-05,3.32,1,209
6495,4720086,Harlem Brownstone - It's Historic!,24382598,Leesa,Manhattan,Harlem,40.81455,-73.94471,Entire home/apt,125,1,142,2019-07-01,2.55,1,266
6603,4774496,Five star large one bedroom!,24517455,Terry,Manhattan,Upper East Side,40.77792,-73.9539,Entire home/apt,185,1,121,2019-06-17,2.19,1,337
6655,4792529,Restored Bungalow of Rockaway Beach,57101,Maribel & Carolina,Queens,Rockaway Beach,40.58822,-73.81299,Entire home/apt,130,1,186,2019-06-23,3.35,1,292
6766,4846449,Perfect room/Great Safe Location 20mins to TimesSq,6486116,Ari,Manhattan,East Harlem,40.78804,-73.94906,Private room,81,1,142,2019-06-01,2.81,4,223
6802,4866426,Private Room in Prime Brooklyn Spot,2346300,Donna And Joaquin,Brooklyn,Boerum Hill,40.68983,-73.99114,Private room,80,1,168,2019-06-30,3.11,1,272
6838,4887250,VICTORIAN SUNFILLED APT DREAM VIEW,1705071,Nika,Queens,Long Island City,40.747409999999995,-73.94712,Private room,95,1,141,2019-06-24,2.77,2,331
6891,4928303,Cozy & Clean #2,23533897,Fatou,Brooklyn,Crown Heights,40.67419,-73.95251,Private room,68,1,91,2019-06-17,1.78,7,329
6924,4958223,Beautiful Central Park View,25517905,Andreias,Manhattan,Upper West Side,40.7962,-73.96155999999999,Private room,99,1,277,2019-06-23,5.44,3,294
6967,4994266,Midtown Launching Pad,24620881,Jack,Manhattan,Midtown,40.75765,-73.96466,Entire home/apt,135,1,168,2019-06-21,3.21,1,287
6992,5021376,Easily accessible cozy room! R202,17638424,Sophie,Queens,Elmhurst,40.74602,-73.87338000000001,Private room,34,1,95,2019-07-02,2.37,8,175
7040,5061309,Sunny room in Bushwick; Minutes from subway!,13501341,Fiorella,Brooklyn,Bushwick,40.70171,-73.91344000000001,Private room,60,1,155,2019-06-20,3.39,2,170
7086,5115372,Comfy Room Family Home LGA Airport NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,40.763740000000006,-73.87103,Private room,54,1,430,2019-07-03,13.45,5,347
7138,5192165,Classic Harlem Brownstone - Manhattan,26856159,Glenda,Manhattan,Harlem,40.82306,-73.94688000000001,Private room,63,1,209,2019-06-13,4.12,3,274
7139,5192219,Metro Retreat  - - Harlem,26856159,Glenda,Manhattan,Harlem,40.821529999999996,-73.94651,Private room,58,1,194,2019-06-22,3.81,3,307
7169,5232121,".Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,40.77776,-73.91611999999999,Private room,55,1,90,2019-06-21,1.72,4,310
7225,5287733,Cozy Room,27379417,Dr.Sally,Queens,South Ozone Park,40.66788,-73.82419,Private room,85,1,243,2018-04-30,4.54,1,281
7238,5300082,CLEAN AND STYLISH EAST VILLAGE PAD,16155254,Lina,Manhattan,East Village,40.72956,-73.98165999999999,Entire home/apt,160,1,210,2019-06-23,3.93,4,265
7239,5301003,Newly renovated 1BR+ in Park Slope,1763862,Jing,Brooklyn,South Slope,40.66485,-73.98543000000001,Entire home/apt,160,1,111,2019-06-22,2.23,1,253
7394,5482918,Pleasant-Place JFK Private Housings Complex,26602392,Dean&Paula,Queens,Springfield Gardens,40.6631,-73.76749000000001,Private room,73,1,148,2019-05-30,3.82,2,347
7421,5519207,Chez Jesse Vacation Spot - Garden,3191371,Jesse,Manhattan,East Harlem,40.80843,-73.93722,Private room,80,1,134,2019-06-13,2.69,3,211
7465,5562710,CLEAN & COZY EAST VILLAGE PAD,16155254,Lina,Manhattan,East Village,40.73097,-73.98178,Entire home/apt,160,1,169,2019-06-21,3.22,4,238
7469,5567361,Modern Apt - Vibrant Neighborhood!,7797690,Danica,Brooklyn,Prospect-Lefferts Gardens,40.65507,-73.95824,Entire home/apt,120,1,282,2019-07-07,5.51,1,187
7556,5661276,1-Br Hell's Kitchen / Times Square,21503931,Steve,Manhattan,Hell's Kitchen,40.765609999999995,-73.99439,Entire home/apt,129,1,178,2019-07-01,3.43,1,272
7578,5690007,New York City Private Room near Metro,22020703,Patricio,Manhattan,Washington Heights,40.85494,-73.93179,Private room,75,1,155,2019-07-07,4.42,1,314
7594,5699348,Spacious UES 1 bedroom apartment,8686625,Marie,Manhattan,Upper East Side,40.78301,-73.95085,Entire home/apt,165,1,166,2019-06-23,3.3,1,210
7692,5806817,"Sleeping in NYC, like home (1).",29817997,Alberto,Queens,Rego Park,40.72846,-73.85546,Private room,65,1,120,2019-06-01,2.35,2,355
7797,5925343,The Notorious B.N.B. { The William Henry },1177497,Jessica,Brooklyn,Clinton Hill,40.68963,-73.96713000000001,Private room,259,1,94,2019-06-26,1.85,11,365
7800,5926953,"Modern, Cozy & Bright Private Room and Bathroom",30430827,Steve,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,2019-06-24,3.02,1,249
7807,5934255,"Artist loft in prime WILLIAMSBURG, art everywhere!",1407676,Jessica,Brooklyn,Williamsburg,40.71604,-73.9589,Private room,132,1,143,2019-06-26,2.99,4,273
7811,5940268,The Big Room in Flushing,30839692,Stavros,Queens,Flushing,40.755179999999996,-73.80422,Private room,50,1,154,2019-07-06,3.05,3,243
7830,5979675,`AMAZING BROOKLYN HOME,7039396,Sol And Coach,Brooklyn,Cypress Hills,40.68085,-73.88895,Entire home/apt,79,1,91,2019-06-29,1.81,2,255
7933,6087959,2000sq $2 million 3 story townhouse,28023382,Edwin,Brooklyn,Gowanus,40.684,-73.98859,Entire home/apt,99,1,183,2019-06-30,3.74,1,196
8001,6157276,Bright LARGE BED near Manhattan,23591164,Angela,Queens,East Elmhurst,40.76664,-73.87576999999999,Private room,65,1,466,2019-06-22,9.16,4,331
8036,6195564,Beautiful Room near L train,14600914,Greg,Brooklyn,Williamsburg,40.71371,-73.95433,Private room,85,1,118,2019-07-01,2.38,1,327
8103,6249050,300 Square Foot Private Room - in MANHATTAN!!,18418581,Pooja,Manhattan,Washington Heights,40.85228,-73.93498000000001,Private room,67,1,297,2019-07-03,5.92,3,271
8112,6257586,Skylight on Hart,11757212,Jasmine,Brooklyn,Bushwick,40.69755,-73.92748,Private room,49,1,170,2019-06-22,3.36,4,356
8221,6334492,Spacious PRIVATE Room on Brighton Beach,27295569,Michael,Brooklyn,Brighton Beach,40.57679,-73.96016,Private room,75,1,127,2019-06-30,2.54,2,247
8277,6371373,Save$PrivateRoom walking distance to Times Square,17450152,Tiba,Manhattan,Hell's Kitchen,40.76525,-73.98895,Private room,140,1,159,2019-06-30,3.17,5,249
8282,6373582,Gowanus Brooklyn Bed,33213436,Alec,Brooklyn,Gowanus,40.67883,-73.98406999999999,Private room,129,1,116,2019-06-24,2.38,8,236
8343,6412693,Cozy Room in Washington Heights Apt,11555845,Elizabeth And Elias,Manhattan,Washington Heights,40.84543,-73.94283,Private room,58,1,148,2019-06-12,3.58,1,280
8363,6428482,2C  Private Rm in Guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,40.80749,-73.93803,Private room,50,1,103,2019-05-31,2.07,10,365
8377,6438456,"Private! entire studio, own entrance, private bath",33614329,Walter,Brooklyn,Bushwick,40.69528,-73.93079,Entire home/apt,85,1,208,2019-07-06,4.14,4,197
8452,6492778,"2 Bedroom fully furnished apt,Clinton Hill BK",21575456,Myrdith,Brooklyn,Clinton Hill,40.68502,-73.96073,Entire home/apt,175,1,150,2019-07-05,2.98,1,300
8512,6553559,"City view, Long Island City 1 BR",33945670,Eli,Queens,Long Island City,40.74876,-73.94507,Entire home/apt,130,1,137,2019-06-13,2.82,2,197
8579,6603534,Private Small Grey Room,9922972,Memo & Iso,Brooklyn,Bedford-Stuyvesant,40.68517,-73.93473,Private room,30,1,107,2019-06-15,2.18,5,345
8636,6639120,King Bed in Trendy Lower East Side,240740,Ariel,Manhattan,Lower East Side,40.7192,-73.99139,Private room,140,1,221,2019-06-18,4.59,1,187
8753,6717053,Lovely Studio in Flushing/kew Garde,34992043,Frances,Queens,Flushing,40.74024,-73.83105,Private room,68,1,222,2019-07-04,4.48,2,330
8853,6786761,[202] 5 min WALK to Times Square!,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76037,-73.99084,Private room,155,1,176,2019-06-19,3.57,11,248
8854,6787310,[205] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76044,-73.98903,Private room,210,1,182,2019-06-23,3.69,11,249
8861,6795568,[203] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.7614,-73.98954,Private room,155,1,179,2019-06-20,3.66,11,243
8862,6795657,Beautiful newly renovated apartment,33622924,Besinfe,Manhattan,Harlem,40.83174,-73.94686,Private room,75,1,134,2019-06-30,3.13,4,354
8863,6796530,Stay in our wonderful loft!,35574300,Spanky,Brooklyn,Gowanus,40.67928,-73.98254,Private room,98,1,238,2019-07-01,4.85,1,236
8871,6799692,[206] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.7618,-73.99093,Private room,255,1,192,2019-06-26,3.91,11,305
8873,6799895,[301] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76146,-73.99109,Private room,155,1,201,2019-06-28,4.1,11,240
8874,6799932,[302] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76015,-73.99086,Private room,155,1,200,2019-06-16,4.07,11,240
8876,6799957,[303] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.75987,-73.99056,Private room,155,1,203,2019-06-13,4.13,11,211
8877,6799999,[305] 5 min WALK to Times Square!,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76036,-73.99073,Private room,165,1,153,2019-06-15,3.16,11,271
8878,6800277,[307] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.76185,-73.99126,Private room,155,1,189,2019-06-23,3.86,11,245
8986,6900168,Wanderlust. A perfect private space to unwind.,2831384,Mustafa,Queens,Woodside,40.74198,-73.89558000000001,Entire home/apt,125,1,262,2019-07-06,5.37,1,246
8995,6908837,**Caribbean Blue- 8 mins to JFK **,36205028,Mrs. T,Queens,Jamaica,40.686370000000004,-73.79214,Private room,53,1,189,2019-06-21,3.9,2,348
9198,7036290,NYC Chauncey 2 .20 min to manhattan,36889012,Michael,Brooklyn,Bedford-Stuyvesant,40.68237,-73.91977,Private room,50,1,123,2019-03-17,2.95,4,349
9203,7037918,"Near LGA, Citifield, US Open Tennis",36242220,Carmen,Queens,East Elmhurst,40.76578,-73.86424,Private room,60,1,209,2019-06-11,4.38,1,364
9211,7047808,"Loft Space for Events, Meetings & Shoots",1299252,Kalin,Manhattan,Flatiron District,40.74068,-73.98999,Entire home/apt,850,1,177,2019-06-29,3.78,1,268
9240,7064935,Private Room in Gorgeous  Apartment In Manhattan,33622924,Besinfe,Manhattan,Harlem,40.8298,-73.94683,Private room,70,1,141,2019-06-20,2.99,4,348
9342,7142734,1 Bedroom w/Jacuzzi in Private Home,37405985,Jenny,Queens,Forest Hills,40.71818,-73.84944,Private room,109,1,86,2019-06-30,1.78,1,344
9356,7160363,LOVE Central Park Room Private Bath,25517905,Andreias,Manhattan,Upper West Side,40.79632,-73.96225,Private room,99,1,222,2019-06-20,4.56,3,251
9461,7258864,No better location in Williamsburg!,2662538,Conrad,Brooklyn,Williamsburg,40.71563,-73.95737,Private room,84,1,204,2019-06-22,4.24,1,319
9478,7269771,CLEAN COZY & COMFY E. VILLAGE PAD,16155254,Lina,Manhattan,Stuyvesant Town,40.7305,-73.98043,Entire home/apt,160,1,150,2019-06-01,3.21,4,238
9487,7276534,LaGuardia Room with Private Entrance(1),31851704,Laura,Queens,East Elmhurst,40.7582,-73.87656,Private room,50,1,211,2019-06-24,4.37,2,339
9563,7342107,"Cozy, Comfy, City Living.",13891989,Gregory,Bronx,East Morrisania,40.82873,-73.89553000000001,Entire home/apt,120,1,142,2019-06-23,3.1,1,345
9574,7348959,Beautiful Room in Brownstone - Prime Location,4579626,Karen,Brooklyn,Park Slope,40.67618,-73.98122,Private room,58,1,211,2019-07-07,5.13,2,178
9604,7381038,South Slope Modern + Spacious with Outdoor Deck,16283468,Philip,Brooklyn,Sunset Park,40.66196,-73.99176999999999,Private room,75,1,113,2019-06-18,2.33,2,233
9689,7453537,Lg Prospect Hts Room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.67883,-73.97051,Private room,70,1,258,2019-06-30,5.45,13,320
9704,7460924,Experience Brooklyn,14925591,Juan,Brooklyn,Williamsburg,40.70275,-73.93445,Entire home/apt,150,1,191,2019-06-16,3.97,1,290
9836,7563493,"Small Studio Private Suite by the Park近公園新小套房,鬧中取靜",39648442,A,Queens,Flushing,40.74823,-73.8084,Private room,65,1,158,2019-06-23,3.35,2,355
9908,7630422,Upper West Side Perfection,37138251,Matthew,Manhattan,Upper West Side,40.78733,-73.97364,Entire home/apt,230,1,161,2019-06-21,3.39,1,347
10004,7692870,Privacy in Unique  Shipping Container Home,3587751,Janet-David,Brooklyn,Williamsburg,40.70841,-73.9539,Private room,120,1,205,2019-06-28,4.39,2,349
10046,7715342,Beautiful Home Away From Home,11272233,Kat,Brooklyn,Crown Heights,40.6735,-73.93856,Private room,59,1,199,2019-06-22,4.19,2,288
10055,7718995,Private Space with Outdoor Patio,25169596,Jessica,Manhattan,Upper West Side,40.77148,-73.98226,Private room,182,1,221,2019-06-10,4.65,2,327
10100,7746872,Stylish 2BR! 5 min to Central Park!,16641806,Noa,Manhattan,East Harlem,40.78824,-73.94686999999999,Entire home/apt,195,1,112,2019-06-06,2.38,1,262
10130,7770735,Private Room close to subway (3/3),40874834,Esteban,Queens,Jackson Heights,40.75421,-73.86435,Private room,75,1,96,2019-06-22,2.06,3,339
10154,7787983,**Caribbean Blush-8 mins to JFK**,36205028,Mrs. T,Queens,Jamaica,40.68542,-73.7926,Private room,52,1,179,2019-06-24,3.79,2,350
10215,7824945,Small Room on the Upper West Side,37138145,C,Manhattan,Upper West Side,40.801109999999994,-73.96539,Private room,75,1,205,2019-07-03,4.32,2,197
10232,7837816,"Bright, Cozy room in Brooklyn",19483885,Edgar,Brooklyn,Bedford-Stuyvesant,40.69695,-73.95951,Private room,60,1,184,2019-07-02,4.83,2,240
10263,7857185,Midtown great location private Apt,41406733,George,Manhattan,Midtown,40.75399,-73.96967,Entire home/apt,135,1,214,2019-06-19,4.5,1,170
10266,7858468,The Artist's Experience,8552927,Jeffrey,Manhattan,Hell's Kitchen,40.76425,-73.99162,Private room,99,1,309,2019-07-07,6.61,1,254
10274,7860155,Private bedroom in the heart of NYC,24559181,Aldi,Manhattan,Upper East Side,40.76312,-73.96624,Private room,89,1,148,2019-06-23,3.18,3,351
10345,7917251,"Amazing LES apt - cool, bright...",41747327,Amy,Manhattan,Lower East Side,40.71909,-73.99028,Entire home/apt,95,1,98,2019-06-23,2.13,1,240
10420,7979237,New Guest Room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.6796,-73.96948,Private room,60,1,197,2019-07-01,4.19,13,324
10449,8002080,Luxury  suite.(private),42243297,Wilson,Brooklyn,Bensonhurst,40.61059,-74.00601999999999,Entire home/apt,65,1,287,2019-07-06,7.31,1,308
10454,8010033,Upscale Apt blocks to Columbia Med./Presb. Hosp.,1883133,Christian,Manhattan,Washington Heights,40.842690000000005,-73.93605,Entire home/apt,110,1,133,2019-06-28,2.85,1,267
10480,8033609,Studio Apartment with King Bed,33213436,Alec,Brooklyn,Gowanus,40.67872,-73.98286,Private room,119,1,171,2019-06-19,3.82,8,236
10509,8061409,Private Bedroom in Quiet Brooklyn Neighborhood,1100659,Joe,Brooklyn,Bushwick,40.7052,-73.91549,Private room,49,1,107,2019-06-09,3.04,1,340
10540,8088779,[201] 5 min WALK to Times Square,35524316,Yasu & Akiko,Manhattan,Hell's Kitchen,40.759890000000006,-73.98899999999999,Shared room,250,1,134,2019-06-07,2.88,11,306
10544,8097567,Giant Sunny Room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.67811,-73.97126,Private room,85,1,222,2019-06-27,4.98,13,290
10562,8115321,Private Room close to subway (1/3),40874834,Esteban,Queens,Jackson Heights,40.75526,-73.86468,Private room,75,1,114,2019-06-17,2.45,3,328
10563,8115423,Private Room close to subway (2/3),40874834,Esteban,Queens,Jackson Heights,40.75548,-73.86632,Private room,75,1,102,2019-06-23,2.21,3,362
10602,8152675,CLEAN & COZY 2 bedroom apartment,34920172,Angela,Manhattan,East Village,40.72995,-73.98135,Entire home/apt,200,1,101,2019-06-24,2.19,1,247
10615,8164402,"Luxury, Cozy 1BD, walk to CentrPark",43092626,Jennifer,Manhattan,Upper East Side,40.78338,-73.95008,Entire home/apt,159,1,126,2019-06-25,2.7,1,338
10673,8208285,Cute East Village 2 Bedroom Apt.,22572797,Amy,Manhattan,East Village,40.72504,-73.97905,Entire home/apt,180,1,146,2019-06-19,3.14,1,270
